vaccinated1,vaccinated2,state,district,confirmed,deceased,recovered,tested,other
795057.0,286170.0,AS,Tinsukia,,,,,
504439.0,133919.0,AS,Udalguri,,,,24661.0,
127612.0,42942.0,AS,West Karbi Anglong,,,,,
1177154.0,395227.0,BR,Araria,14978.0,116.0,14859.0,219221.0,
345175.0,116424.0,BR,Arwal,7381.0,74.0,7307.0,101624.0,
1132482.0,407913.0,BR,Aurangabad,20011.0,75.0,19936.0,412007.0,
935177.0,351254.0,BR,Banka,7379.0,112.0,7267.0,364776.0,
1430906.0,480982.0,BR,Begusarai,27212.0,457.0,26754.0,213670.0,
1494951.0,650332.0,BR,Bhagalpur,25840.0,309.0,25531.0,582113.0,
1291186.0,382719.0,BR,Bhojpur,10210.0,159.0,10051.0,466438.0,
907374.0,322555.0,BR,Buxar,9248.0,182.0,9066.0,461428.0,
1869372.0,741553.0,BR,Darbhanga,10937.0,370.0,10567.0,448442.0,
2498559.0,1002939.0,BR,East Champaran,19017.0,430.0,18585.0,548132.0,
1925234.0,722746.0,BR,Gaya,33952.0,280.0,33672.0,872359.0,
1286763.0,481968.0,BR,Gopalganj,16685.0,94.0,16591.0,562654.0,
800488.0,222093.0,BR,Jamui,9418.0,106.0,9312.0,342005.0,
498448.0,184446.0,BR,Jehanabad,10783.0,109.0,10674.0,492255.0,
801438.0,225437.0,BR,Kaimur,4984.0,147.0,4837.0,442332.0,
1451838.0,403046.0,BR,Katihar,18145.0,94.0,18051.0,556438.0,
775019.0,222012.0,BR,Khagaria,10064.0,88.0,9976.0,148340.0,
757066.0,205274.0,BR,Kishanganj,10128.0,66.0,10057.0,294321.0,
461970.0,138407.0,BR,Lakhisarai,7776.0,102.0,7674.0,332434.0,
965767.0,260408.0,BR,Madhepura,12547.0,111.0,12435.0,455482.0,
1974159.0,680214.0,BR,Madhubani,18365.0,339.0,18023.0,715168.0,
707588.0,264665.0,BR,Munger,15111.0,158.0,14953.0,325212.0,
2253919.0,717015.0,BR,Muzaffarpur,31398.0,621.0,30777.0,722651.0,
1393762.0,638181.0,BR,Nalanda,23432.0,468.0,22964.0,591346.0,
1062349.0,274319.0,BR,Nawada,10353.0,178.0,10174.0,322514.0,
3421614.0,2366474.0,BR,Patna,147007.0,2334.0,144651.0,676238.0,
1603099.0,729224.0,BR,Purnia,24427.0,180.0,24247.0,568756.0,
1498172.0,465660.0,BR,Rohtas,13980.0,271.0,13707.0,521553.0,
995618.0,366567.0,BR,Saharsa,17616.0,134.0,17482.0,356327.0,
1991102.0,555728.0,BR,Samastipur,20020.0,155.0,19864.0,614569.0,
1868014.0,736766.0,BR,Saran,23278.0,255.0,23020.0,761473.0,
287209.0,95322.0,BR,Sheikhpura,7693.0,75.0,7618.0,142348.0,
300967.0,108766.0,BR,Sheohar,4404.0,36.0,4368.0,199431.0,
1511464.0,424182.0,BR,Sitamarhi,9185.0,127.0,9058.0,453227.0,
1670590.0,684755.0,BR,Siwan,15195.0,170.0,15025.0,536438.0,
1069993.0,369925.0,BR,Supaul,17222.0,129.0,17093.0,456511.0,
1671469.0,478638.0,BR,Vaishali,19827.0,192.0,19632.0,275884.0,1.0
1784016.0,469332.0,BR,West Champaran,20890.0,358.0,20532.0,551778.0,
926035.0,546981.0,CH,Chandigarh,65351.0,820.0,64495.0,792851.0,
537459.0,271570.0,CT,Balod,27278.0,396.0,26880.0,2749.0,
617777.0,211945.0,CT,Baloda Bazar,43085.0,471.0,42611.0,3816.0,
305554.0,112777.0,CT,Balrampur,20302.0,118.0,20182.0,21481.0,
