state,district,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested,other
KA,Mysuru,46664.0,111457.0,234.0,247.0,7.0,,
KA,Raichur,19900.0,34897.0,1.0,4.0,,,
KA,Ramanagara,6303.0,28767.0,8.0,10.0,2.0,,
KA,Shivamogga,23220.0,47086.0,30.0,66.0,,,
KA,Tumakuru,31038.0,66650.0,136.0,112.0,1.0,,
KA,Udupi,2422.0,27889.0,49.0,75.0,,,
KA,Uttara Kannada,3955.0,32067.0,66.0,48.0,,,
KA,Vijayapura,59571.0,50033.0,2.0,2.0,,,
KA,Yadgir,18060.0,15460.0,,2.0,,,
KL,Alappuzha,5337.0,51712.0,2035.0,2526.0,228.0,,
KL,Ernakulam,13018.0,91762.0,7647.0,8539.0,742.0,,
KL,Idukki,2211.0,27218.0,2876.0,1866.0,71.0,,
KL,Kannur,7636.0,71089.0,2611.0,3143.0,301.0,,
KL,Kasaragod,4942.0,24290.0,1054.0,1082.0,31.0,,
KL,Kollam,7368.0,62100.0,4753.0,6283.0,161.0,,
KL,Kottayam,5298.0,58083.0,4187.0,1611.0,101.0,,
KL,Kozhikode,11449.0,57479.0,5386.0,5059.0,513.0,,
KL,Malappuram,20840.0,52896.0,2634.0,2929.0,108.0,,
KL,Palakkad,8712.0,57261.0,2560.0,2544.0,175.0,,
KL,Pathanamthitta,2637.0,29343.0,2953.0,2635.0,122.0,,
KL,Thiruvananthapuram,9284.0,89297.0,7056.0,4851.0,118.0,,
KL,Thrissur,8853.0,87643.0,5751.0,3647.0,388.0,,
KL,Wayanad,2223.0,32359.0,1823.0,1691.0,30.0,,
LA,Kargil,205.0,748.0,4.0,,,,
LA,Leh,320.0,785.0,54.0,28.0,,,
LD,Lakshadweep,69.0,796.0,,,,1625.0,
MH,Ahmednagar,44180.0,28319.0,866.0,728.0,26.0,,
MH,Akola,26579.0,10081.0,3.0,7.0,,,
MH,Amravati,29961.0,21747.0,3.0,,,,
MH,Aurangabad,46323.0,34109.0,156.0,157.0,1.0,,
MH,Beed,34333.0,24584.0,69.0,35.0,5.0,,
MH,Bhandara,5080.0,16415.0,,1.0,,,
MH,Buldhana,34272.0,24089.0,16.0,16.0,1.0,,
MH,Chandrapur,22248.0,18994.0,7.0,,,,
MH,Dhule,23261.0,19364.0,5.0,4.0,,,
MH,Gadchiroli,14790.0,10994.0,2.0,5.0,,,
MH,Gondia,8593.0,23092.0,2.0,3.0,,,
MH,Hingoli,42054.0,16145.0,,3.0,,,
MH,Jalgaon,37870.0,21599.0,4.0,11.0,,,
MH,Jalna,112537.0,35713.0,15.0,47.0,,,
MH,Kolhapur,19104.0,23088.0,55.0,115.0,2.0,,
MH,Latur,82644.0,33519.0,39.0,,3.0,,
MH,Mumbai,98915.0,219736.0,2242.0,2604.0,34.0,,7.0
MH,Nagpur,58567.0,71818.0,35.0,43.0,,,
MH,Nanded,144423.0,41697.0,28.0,22.0,,,
MH,Nandurbar,19572.0,12517.0,2.0,1.0,,,
MH,Nashik,143768.0,58112.0,456.0,519.0,12.0,,
MH,Osmanabad,44954.0,11658.0,89.0,154.0,1.0,,
MH,Palghar,32112.0,39231.0,204.0,326.0,,,
MH,Parbhani,44477.0,20480.0,13.0,9.0,1.0,,
MH,Pune,85256.0,136336.0,1536.0,5294.0,20.0,,
MH,Raigad,21737.0,31684.0,267.0,359.0,10.0,,
MH,Ratnagiri,10880.0,7924.0,91.0,160.0,4.0,,
MH,Sangli,11974.0,19041.0,155.0,375.0,4.0,,
MH,Satara,16690.0,30950.0,157.0,501.0,17.0,,
MH,Sindhudurg,3915.0,5195.0,91.0,259.0,4.0,,
MH,Solapur,77398.0,34204.0,253.0,370.0,11.0,,
MH,Thane,108643.0,120708.0,1241.0,3002.0,44.0,,
MH,Wardha,16481.0,14040.0,5.0,4.0,,,
MH,Washim,30932.0,19238.0,4.0,5.0,,,
MH,Yavatmal,56233.0,26091.0,6.0,7.0,,,
ML,East Garo Hills,482.0,1424.0,5.0,2.0,,,
ML,East Jaintia Hills,483.0,2964.0,2.0,3.0,,,
ML,East Khasi Hills,1847.0,10698.0,171.0,286.0,2.0,,
ML,North Garo Hills,596.0,3614.0,3.0,2.0,,,
ML,Ribhoi,884.0,3492.0,14.0,23.0,,,
ML,South Garo Hills,329.0,1346.0,,1.0,,,
ML,South West Garo Hills,924.0,4509.0,3.0,3.0,,,
ML,South West Khasi Hills,61.0,552.0,6.0,1.0,,,
ML,West Garo Hills,1409.0,8093.0,8.0,11.0,,,
ML,West Jaintia Hills,411.0,3480.0,11.0,31.0,2.0,,
ML,West Khasi Hills,443.0,1763.0,33.0,97.0,,,
MN,Bishnupur,685.0,8679.0,,,,,
MN,Chandel,98.0,1337.0,,,,,
MN,Churachandpur,345.0,3560.0,,,,,
MN,Imphal East,2402.0,19169.0,,,,,
MN,Imphal West,1861.0,17353.0,,,,,
MN,Jiribam,70.0,1927.0,,,,,
MN,Kakching,214.0,2450.0,,,,,
MN,Kamjong,129.0,736.0,,,,,
MN,Kangpokpi,291.0,1472.0,,,,,
MN,Noney,98.0,1211.0,,,,,
MN,Pherzawl,55.0,711.0,,,,,
MN,Senapati,425.0,1940.0,,,,,
MN,Tamenglong,174.0,1204.0,,,,,
MN,Tengnoupal,93.0,1176.0,,,,,
MN,Thoubal,378.0,6574.0,,,,,
MN,Ukhrul,362.0,1775.0,,,,,
MN,Unknown,,,439.0,652.0,10.0,,
MP,Agar Malwa,965.0,16911.0,,,,,
MP,Alirajpur,921.0,8076.0,,,,,
MP,Anuppur,995.0,18360.0,,,,,
MP,Ashoknagar,1258.0,17334.0,,,,,
MP,Balaghat,15838.0,71692.0,2.0,,,,
MP,Barwani,1615.0,16619.0,,,,,
MP,Betul,2361.0,31953.0,1.0,,,,
MP,Bhind,1525.0,30042.0,,,,,
MP,Bhopal,4130.0,38750.0,38.0,,,,
MP,Burhanpur,762.0,6561.0,,,,,
MP,Chhatarpur,3103.0,27937.0,,,,,
MP,Chhindwara,4654.0,93453.0,2.0,,,,
MP,Damoh,4298.0,52314.0,,,,,
MP,Datia,1963.0,45226.0,,,,,
MP,Dewas,1804.0,22992.0,,,,,
MP,Dhar,5034.0,83699.0,7.0,,,,
MP,Dindori,1342.0,21481.0,,,,,
MP,Guna,3347.0,32837.0,,,,,
MP,Gwalior,8800.0,41193.0,2.0,,,,
MP,Harda,1075.0,24810.0,,,,,
MP,Hoshangabad,1498.0,39507.0,,,,,
MP,Indore,4233.0,45203.0,39.0,,,,
MP,Jabalpur,5968.0,156306.0,3.0,,,,
MP,Jhabua,3578.0,21040.0,1.0,,,,
MP,Katni,2926.0,42360.0,,,,,
MP,Khandwa,880.0,13668.0,,,,,
MP,Khargone,3049.0,32932.0,,,,,
MP,Mandla,2286.0,53670.0,,,,,
MP,Mandsaur,2058.0,37337.0,,,,,
MP,Morena,2814.0,112629.0,,,,,
MP,Narsinghpur,1266.0,34365.0,5.0,,,,
MP,Neemuch,970.0,17955.0,,,,,
MP,Panna,2633.0,18657.0,,,,,
MP,Raisen,1644.0,22044.0,,,,,
MP,Rajgarh,2483.0,41531.0,1.0,,,,
MP,Ratlam,1894.0,51080.0,,,,,
MP,Rewa,6664.0,104963.0,,,,,
MP,Sagar,6321.0,60800.0,2.0,,,,
MP,Satna,3426.0,40519.0,,,,,
MP,Sehore,2325.0,32101.0,,,,,
MP,Seoni,2162.0,38081.0,,,,,
MP,Shahdol,857.0,22928.0,,,,,
MP,Shajapur,1971.0,51596.0,,,,,
MP,Sheopur,1338.0,16952.0,,,,,
MP,Shivpuri,3082.0,38901.0,,,,,
MP,Sidhi,1867.0,19145.0,,,,,
MP,Singrauli,3052.0,21200.0,1.0,,,,
MP,Tikamgarh,3331.0,24497.0,,,,,
MP,Ujjain,4210.0,65566.0,1.0,,,,
MP,Umaria,955.0,28084.0,,,,,
MP,Unknown,,,,74.0,1.0,,
MP,Vidisha,1222.0,26130.0,,,,,
MZ,Aizawl,443.0,3740.0,1996.0,3014.0,6.0,,
MZ,Champhai,344.0,572.0,299.0,319.0,3.0,,
MZ,Hnahthial,,,143.0,185.0,,,
MZ,Khawzawl,,,42.0,26.0,,,
MZ,Kolasib,153.0,738.0,94.0,154.0,,,
MZ,Lawngtlai,2765.0,1838.0,98.0,245.0,1.0,,
MZ,Lunglei,263.0,1493.0,662.0,507.0,1.0,,
MZ,Mamit,228.0,1322.0,241.0,265.0,5.0,,
MZ,Saiha,68.0,1116.0,107.0,345.0,5.0,,
MZ,Saitual,,,30.0,53.0,,,
MZ,Serchhip,36.0,431.0,386.0,572.0,,,
NL,Dimapur,2827.0,12731.0,68.0,73.0,2.0,,10.0
NL,Kiphire,116.0,357.0,2.0,1.0,,,
NL,Kohima,509.0,3038.0,23.0,24.0,,,2.0
NL,Longleng,26.0,181.0,,7.0,,,
NL,Mokokchung,146.0,2026.0,23.0,5.0,2.0,,
NL,Mon,243.0,1864.0,1.0,,,,
NL,Peren,189.0,613.0,1.0,1.0,,,
NL,Phek,99.0,496.0,4.0,1.0,,,1.0
NL,Tuensang,106.0,525.0,2.0,28.0,1.0,,
NL,Wokha,122.0,1074.0,6.0,4.0,,,
NL,Zunheboto,331.0,807.0,,,1.0,,
OR,Angul,21629.0,23378.0,16.0,20.0,2.0,,
OR,Balangir,20119.0,39059.0,4.0,15.0,,,
OR,Balasore,78274.0,35314.0,67.0,80.0,1.0,,
OR,Bargarh,52192.0,32028.0,18.0,16.0,,,
OR,Bhadrak,14511.0,38206.0,44.0,39.0,1.0,,
OR,Boudh,7009.0,16754.0,,4.0,,,
OR,Cuttack,75381.0,45717.0,277.0,304.0,1.0,,
OR,Deogarh,1126.0,4779.0,41.0,10.0,,,
OR,Dhenkanal,18302.0,23327.0,25.0,16.0,,,
OR,Gajapati,4770.0,10942.0,15.0,11.0,,,
OR,Ganjam,27002.0,112716.0,22.0,18.0,,,
OR,Jagatsinghpur,28276.0,25051.0,76.0,78.0,1.0,,
OR,Jajpur,30726.0,37471.0,75.0,73.0,,,
OR,Jharsuguda,7187.0,14725.0,13.0,10.0,,,
OR,Kalahandi,38214.0,26926.0,15.0,1.0,,,
OR,Kandhamal,12881.0,12319.0,,5.0,,,
OR,Kendrapara,28635.0,34297.0,62.0,52.0,1.0,,
OR,Kendujhar,25529.0,46488.0,4.0,3.0,2.0,,
OR,Khordha,34733.0,49859.0,1492.0,1654.0,8.0,,
OR,Koraput,13011.0,35701.0,11.0,20.0,,,
OR,Malkangiri,13449.0,16141.0,2.0,4.0,,,
OR,Mayurbhanj,86170.0,36315.0,126.0,93.0,5.0,,
OR,Nabarangapur,13213.0,18025.0,1.0,2.0,,,
OR,Nayagarh,7145.0,22575.0,28.0,24.0,1.0,,
OR,Nuapada,3391.0,14721.0,36.0,5.0,,,
OR,Puri,25187.0,40854.0,68.0,69.0,1.0,,
OR,Rayagada,5781.0,16558.0,18.0,16.0,,,
OR,Sambalpur,8960.0,31518.0,88.0,113.0,,,
OR,State Pool,,,338.0,401.0,,,
OR,Subarnapur,8102.0,31803.0,5.0,3.0,,,
